Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,Processes,Algorithm
32,3.48,0.77,6.2,10000,42,chain
64,3.51,0.74,6.27,10000,42,chain
128,4.32,0.89,7.64,10000,42,chain
256,4.55,0.94,7.89,10000,42,chain
512,4.86,1.03,8.54,10000,42,chain
1024,5.85,1.19,10.27,10000,42,chain
2048,7.29,1.43,13.5,10000,42,chain
4096,10.61,2.17,19.76,10000,42,chain
8192,16.52,3.23,30.64,10000,42,chain
16384,39.43,12.86,61.53,10000,42,chain
32768,59.13,20.62,93.19,10000,42,chain
65536,99.77,37.98,156.35,10000,42,chain
131072,185.41,75.35,299.96,10000,42,chain
262144,359.09,158.43,556.41,10000,42,chain
524288,700.12,315.81,1072.36,10000,42,chain
1048576,1367.51,581.85,2120.55,10000,42,chain
1,3.38,0.11,6.12,10000,46,basic linear
2,3.58,0.24,6.33,10000,46,basic linear
4,3.51,0.11,6.28,10000,46,basic linear
8,3.52,0.11,6.27,10000,46,basic linear
16,3.43,0.11,6.2,10000,46,basic linear
32,4.46,0.19,8.41,10000,46,basic linear
64,4.42,0.15,8.7,10000,46,basic linear
128,9.16,0.46,17.09,10000,46,basic linear
256,9.59,0.51,18.17,10000,46,basic linear
512,10.24,0.53,19.66,10000,46,basic linear
1024,14.37,0.8,27.53,10000,46,basic linear
2048,18.38,1.22,35.51,10000,46,basic linear
4096,26.73,1.66,52.79,10000,46,basic linear
8192,39.83,2.26,78.74,10000,46,basic linear
16384,29.24,6.94,46.94,10000,46,basic linear
32768,61.88,13.92,93.23,10000,46,basic linear
65536,136.2,43.17,184.72,10000,46,basic linear
131072,283.98,96.32,361.03,10000,46,basic linear
262144,578.3,202.75,710.66,10000,46,basic linear
524288,999.19,415.49,1273.31,10000,46,basic linear
1048576,2068.99,839.6,2575.37,10000,46,basic linear
